relation	sentence
Content-Container(e2,e1)	<e1>جعبه </e1><e2>تجهیزات استخر </e2>ما را به خوبی حفظ می کند .
Entity-Destination(e1,e2)	<e1>قربانی‌ها </e1>به درون <e2>آتشفشان </e2>پرتاب شدند .
Entity-Destination(e1,e2)	در یک آزمایش ، پروتئین‌ها با موفقیت <e1>مس </e1>را به داخل <e2>بافت </e2>انتقال دادند .
Entity-Origin(e2,e1)	<e1>جلگه پایین دست </e1>عمدتا برای <e2>پستانداران گوشتی </e2>تحت کشت هست با تنها یک شرکت لبنی و یک واحد تولید مرغ ، بنابراین کاربری زمین به طور کامل مرتع است .
Product-Producer(e1,e2)	ما از <e2>رهبران </e2>مان <e1>قول </e1>هایی درمورد تغییرات بزرگ آینده بدون هیچ برنامه معتبر فعلی ای می شنویم .
Component-Whole(e1,e2)	<e1>پشت گردن </e1><e2>نر </e2>یک آبی فیروزه‌ای دارد که پرهای زیرین سبز کمرنگ را در بر می گیرد .
Other	آنها این را از جهاز عروسی من گرفتند ، وقتی که چیزی ورای <e1>جست و خیز </e1>سرسام آور سایهی <e2>رقصندگان </e2>صدا تولید میکند .
Entity-Destination(e1,e2)	پیشرفت‌های تکنولوژیکی در سراسر جهان <e1>جنگ </e1>را به <e2>اتاق‌های نشیمن </e2>آورده است .
Cause-Effect(e2,e1)	مشابه یک حفاری باستان شناسی در اتاق زیر شیروانی است ، <e1>روده بر شدن </e1>از <e2>خنده </e2>به جای گردگیری کردن،توسط یک انسان شوخ چیره دست به عنوان خاطرات آشنا و فراموش شده مرور می شوند و یک چرخش سیناپسی طنزآمیز تصور می شود .
Cause-Effect(e2,e1)	<e1>سقط جنین </e1>به علت <e2>مشکلات </e2>یکباره و غیر قابل تکرار <e2>ژنتیکی </e2>اتفاق می افتد .
Product-Producer(e1,e2)	یک <e1>مدل </e1>برای یک خانه تابستانی توسط <e2>نجار </e2>و معمار ویلیام تورنتون توسط سر آبستروپوس در سال 1700 تایید شد .
Entity-Destination(e1,e2)	همه <e1>پرندگان </e1>به <e2>مترو </e2>برای بارش برف پرواز کرده اند .
Other	ابتدای این <e1>ترانه </e1>، <e2>خوانندگان </e2>پس زمینه کلمهی ستایش مسیحیان و یهودیان ، « هالیلوجاه » را تکرار می کنند .
Component-Whole(e1,e2)	اغلب <e1>پیام </e1>شامل یک <e2>هشدار </e2>در رابطه با یک مشکل مربوط به حساب گیرنده است .
Entity-Destination(e1,e2)	این <e1>پیام </e1>به <e2>پستچی </e2>تحویل داده می شود .
Instrument-Agency(e2,e1)	یک <e1>آرایشگر مو </e1>بدون وارد شدن آسیب شدید به موهای شما بر اثر استفاده از <e2>رنگ مو ، </e2>موهای شما را به رنگ دلخواه در می آورد .
Entity-Origin(e1,e2)	<e1>دزدان </e1>بدون هیچ پولی از <e2>فروشگاه </e2>بیرون زدند .
Message-Topic(e2,e1)	یکی دیگر از رستوران‌های <e1>زنجیره‌ای </e1>مرغ سرخ شده نیز موضوع <e2>نظریه توطئه </e2>شد .
Message-Topic(e2,e1)	نمایندگان کشورهای در حال توسعه ، مشارکت خود را در <e2>مذاکرات </e2><e1>تغییرات آب و هوا </e1>در کپنهاگ به حالت تعلیق درآوردند ،که منجر به توقف موقتی مذاکرات شد .
Entity-Destination(e1,e2)	ما <e1>مایع </e1>را به <e2>مخزن </e2>تخلیه کردیم .
Cause-Effect(e2,e1)	یک عکس هوایی از نیروی هوایی فیلیپین ، ساکنان ایستاده در پشت بام برای فرار از <e1>سیلاب </e1>ناشی از <e2>باران‌های </e2>مداوم در تیفون کتسانا در شهر ماریکینا ، مترو مانیلا در تاریخ 27 سپتامبر 2009 ، را نشان می داد .
Component-Whole(e1,e2)	<e1>چین خوردگی مغز </e1>بخشی از <e2>هیپوکاموس ، </e2>قسمت مرکزی حافظه است و در شکل گیری خاطرات جدید نقش دارد .
Member-Collection(e2,e1)	این <e1>مجموعه </e1>شامل <e2>مجموعه‌های </e2>ویرایش شده از مقالات ، برخی از اصلی و برخی از قبلا منتشر شده است .
Component-Whole(e1,e2)	<e1>زرده </e1>در حدود یک <e2>سوم </e2>وزن مایع تخم مرغ را تشکیل می دهد .
Component-Whole(e1,e2)	طلسم‌های مورد علاقه برای مسلط شدن بر شیاطین شامل <e1>سبیل </e1><e2>ببر </e2>یا پلنگ مخلوط شده با تراشه‌های ناخن ، برخی از ریشه‌های مقدس یا چمن و نخ‌های قرمز که از حلق یا از بالای بازو آویزان شده ، هستند .
Other	<e1>داستان </e1>به صورت <e2>بازگشت به گذشته </e2>روایت شده است .
Component-Whole(e2,e1)	<e1>نور </e1>از <e2>ذره‌های </e2>کوچک تشکیل شده بود ( ذرات ماده ) که در همه جهات از یک منبع منتشر می شدند .
Product-Producer(e2,e1)	طی سال‌ها ، <e1>کوه نوردان </e1>سنگ‌ها را به شکل <e2>پناهگاه‌های </e2>نیمه مدور جمع کرده اند .
Other	اکنون که پس از <e2>سونامی </e2>ترمیم و <e1>بازسازی </e1>در حال انجام است ، ما میخواهیم ببینیم که مردم به خانه های جدیدشان نقل مکان می کنند ، عوام امرار معاش خود را از سر می گیرند ، و کودکان به مدارس بازسازی شده باز می گردند .
Entity-Origin(e1,e2)	به نظر می رسد <e1>قالیچه </e1>از یک <e2>طرح </e2>واقعی بیرون کشیده شده است .
Product-Producer(e2,e1)	<e2>علامت‌های </e2><e1>نقاش </e1>داستان یک شکار یا یک جنگ بزرگ را نشان می دهند ؛ نمادهای من نشان دهنده داستان یک مشکل و راه حل آن هستند .
Message-Topic(e1,e2)	<e1>پوسترهای </e1>متنی محض <e2>نمایشنامه‌های </e2>شکسپیر را تبلیغ کردند و شهروندان را برای قرن‌ها از اعلامیه‌های دولت آگاه ساختند .
Cause-Effect(e2,e1)	شركت بدبخت پس از <e2>جمع آوری </e2>ویرانگر شش ماه پیش داروهاي ضد درد ویوکس همچنان <e1>پس لرزه‌های </e1>آن را احساس مي كند .
Instrument-Agency(e2,e1)	<e1>پرتو </e1>ترکیبی تصویری را با استفاده از یک <e2>لامپ </e2>نور تشکیل می دهد .
Product-Producer(e1,e2)	<e1>باتری‌های </e1>توسعه یافته توسط <e2>تیم </e2>دانشگاه تلآویو -LRB-TAU ) به نحوی متفاوت از باتری‌های معمولی کار می کنند .
Product-Producer(e1,e2)	مهارت‌های الکس به عنوان یک ویراستار و یک <e2>سازنده </e2><e1>مستند </e1>به ما اجازه داد که بتوانیم در مدت زمانی کوتاه آنرا چرخانده و پرتاب کنیم .
Entity-Destination(e1,e2)	<e1>کانتینر </e1>درون <e2>سردابی </e2>که توسط خانه یادبود استارک فراهم شده بود قرار گرفت .
Entity-Origin(e1,e2)	<e1>گروه‌های </e1>کولوبوس قرمز زمانی که تنها بودند و هیچ احتمال اتحادشان هم نبود ، از <e2>شامپانزه‌ها </e2>جدا شدند .
Product-Producer(e1,e2)	دست نامرئی ، که همچنین به عنوان دست نامرئی بازار شناخته می شود ، یک <e1>استعاره </e1>است که اولین بار توسط این <e2>اقتصاددان </e2>در تئوری احساسات اخلاقی ابداع شد .
Component-Whole(e1,e2)	این سایت دارای گالری‌های رایگان عکس از مردانی است که <e1>کش </e1><e2>لباس زیر </e2>شان را از بالای شلوار جین خود نشان می دهند .
Component-Whole(e1,e2)	<e1>پوسته </e1><e2>زمین </e2>از انواع زیادی از سنگ‌های آذرین ، دگرگون و رسوبی تشکیل شده است .
Component-Whole(e1,e2)	علاوه بر این ، و به ویژه در مورد زانو‌های آسیب دیده و یا ضعیف ، باید در <e1>لولای </e1><e2>زانوبند </e2>قرار داده شود تا گسترش مفصل زانو را کنترل و جلوگیری از افزایش آن را فراهم کند .
Component-Whole(e1,e2)	این دستگاه به صورت زیر عمل می کند: واسط جریان بر <e1>پدال </e1><e2>کلید </e2>جریان کوبولد فشار می آورد .
Member-Collection(e2,e1)	بنابراین یک <e1>دوچرخه </e1>بزرگ از <e2>مورچه‌ها </e2>بیرون وجود دارد ، و در برخورد با چنین چیزهایی من موفق به آوردن برخی از آن همرا خود به داخل شدم .
Member-Collection(e1,e2)	او یک <e1>سرجوخه </e1>در <e2>ارتش </e2>سیرالئون ، عکاس عروسی و فیلمبردار تلویزیون دولتی بود .
Member-Collection(e2,e1)	ما یک <e1>جمعیت </e1>نوپا در <e2>سراسر جهان </e2>داریم که تقریبا بدون ماشین زندگی خوبی دارند .
Content-Container(e1,e2)	در دفتر مرکزی پلیس ، <e1>لیست </e1>اسامی مخفی که در <e2>گاو صندوق </e2>دفتر رئیس فرماندهی قفل شده بود فراموش شد .
Member-Collection(e2,e1)	به طور طبیعی ، آنها در <e1>انجمنی </e1>از <e2>رندان </e2>که به آن‌ها آموزش میدهند ارزش درونی فرد مهم تر از زیبایی است قرار داده می شوند .
Message-Topic(e1,e2)	این مخزن <e1>اسناد </e1>آرشیوی بسیار ارزشمند است که <e2>تاریخچه </e2>امپراتوری اسپانیا را نشان می دهد .
Component-Whole(e1,e2)	<e1>سخنرانی خوش آمدگویی </e1><e2>کنفرانس </e2>توسط رئیس جمهور VSE پروفسور اینگ ایراد شد . ریچارد هندی ، CSC .
Member-Collection(e2,e1)	شطرنج یک بازی است که ساختار های قدیمی اروپای فئودال را به تصویر می کشد ، و <e1>اتحاد </e1><e2>منافع </e2>مستبدان مختلف را به نمایش می گذارد که مردم جامعه را در یوغ خدمت به نخبگان جامعه نگه می دارد .
Other	سه تغییر صحنه و دو فواصل وجود دارد که به <e1>بازیابی </e1>از <e2>خنده </e2>کمک می کند ، اما سرگرمی با وجود پایان مورد انتظار خوب ادامه یافت .
Entity-Origin(e1,e2)	روزی <e1>پسرک </e1>یتیم از <e2>یتیم‌خانه </e2>فرار کرد .
Other	از این رو ، <e1>گرامرهای </e1>باقاعده باقی مانده دقیقا تمام <e2>زبانهای </e2>باقاعده را تولید می کنند .
Other	قبل از ضبط کردن یک قسمت از Scholar ، یک <e1>آرایشگر </e1><e2>گریم </e2>نهایی را به صورت مارکوئزا لارنس اضافه می کند .
Cause-Effect(e2,e1)	از آنجا که <e1>آتش </e1>سوزی بواسطه <e2>آتش بازی </e2>ایجاد شد ، هزینه‌های مرتبط با مهار آتش نیز اعمال شد .
Other	آنها موقعیت‌های خروجی <e1>الکترون‌های </e1>برگشت پذیر را با یک <e2>روش </e2>تک - پراکندگی محاسبه کردند .
Component-Whole(e2,e1)	مانند بوش ، این <e1>ماشین ظرفشویی </e1>دارای یک <e2>فیلتر </e2>است که باید به صورت دستی خالی شود و شامل بخش درونی دوراندازی غذا نمی شود .
Member-Collection(e2,e1)	نتیجه <e1>غوغایی </e1>از <e2>تاثیرگذاری </e2>است که همه از کلاس پایدار و گیرایی شخصیت کینی به وجود آمده است .
Product-Producer(e2,e1)	بازده <e1>کارخانه </e1><e2>جنگ افزارها </e2>تحت مدیریت هیدیوشی به طور چشمگیری افزایش یافت .
Cause-Effect(e2,e1)	<e1>سرماخوردگی </e1>و آنفولانزا ناشی از <e2>ویروس‌های </e2>مختلف است و علائم آنفلوآنزا سریعتر و شدیدتر از سرماخوردگی است .
Cause-Effect(e2,e1)	ما شواهدی یافتیم که نشان می دهد ارنست به نوعی عارضه قلب و عروق ترومبوتیک مبتلا بود به عنوان مثال یک <e1>انسداد </e1>قلبی حادث شده توسط <e2>لخته‌ای </e2>خونی .
Entity-Destination(e1,e2)	ده <e1>برنامه </e1>به طور خودکار به یک <e2>قرعه کشی جوایز </e2>ماهانه وارد می شوند .
Member-Collection(e1,e2)	همانطور که داستان میگذرد ، وایتمن پس از جنگ جهانی اول ، یکی از بهترین رقصهای پرداخت شده در کشور ، تبدیل به یک <e1>بازیکن </e1>رشته در یک <e2>ارکستر </e2>سمفونی شد تا به شهرت و پول دست یابد .
Entity-Destination(e1,e2)	یک <e1>زن </e1>ژاپنی به <e2>گنجه </e2>بلوک منتقل شد .
Product-Producer(e2,e1)	یک <e1>لباس فروش </e1>سفارشی <e2>لباس </e2>های سفارشی را یکی یکی برای سفارش میسازد .
Cause-Effect(e1,e2)	این <e1>حادثه </e1>یک <e2>احساس </e2>کوتاه در وب در میان افرادی که مشکوک بودند این تفسیر سیاسی بوده است ، ایجاد کرد .
Other	آنها شرط بندی هایی را برای میزبانی <e1>پس مانده </e1>وحشتناک <e2>شکمبه‌های </e2>مختلف می کنند .
Message-Topic(e1,e2)	عمو جی گاهی اوقات یک کار <e1>ویژه </e1>را انجام می دهد که به توضیح یک <e2>اصلاح </e2>یا موضوع خاص اختصاص دارد .
Product-Producer(e2,e1)	و در هر یک از جلسات محاکمه ، حمایت مالی از <e1>سازنده </e1><e2>داروی مخدر </e2>به همان اندازه و یا برابر با بقیه افراد در دادگاه مطرح شد .
Message-Topic(e2,e1)	این <e1>بحث </e1>عمومی در <e2>سریال </e2>هایی که به طور گسترده در مجلات محبوب و توسط تحلیل گران متعدد تبلیغ شده اند ، منعکس شده است .
Member-Collection(e1,e2)	<e1>مادر </e1>ساپریور عضوی از این <e2>شرکت </e2>است .
Message-Topic(e1,e2)	این <e1>کتاب </e1><e2>داستان‌های </e2>به هم مرتبط است که توسط یک وزیر محبوب در اوایل دهه ۱۹۰۰ ثبت شده اند .
Entity-Origin(e2,e1)	<e2>مربای </e2><e1>توت فرنگی </e1>بهترین راه برای استفاده از حجم انبوهی از <e1>توت فرنگی </e1>است و درست کردن آن با این دستور العمل پخت <e2>مربای </e2><e1>توت فرنگی </e1>بسیار آسان است .
Entity-Destination(e1,e2)	او <e1>آرد </e1>را درون <e2>شیپور </e2>یکی از همکاران ارکسترش ریخت .
Component-Whole(e1,e2)	لئاه دی با استفاده از یک ماشین دوخت یک تکه لحاف را به <e1>پشت </e1>یک <e2>لحاف </e2>وصل کرد .
Entity-Origin(e1,e2)	من <e1>نقل قول‌های </e1>والدینم را از <e2>روزهای گذشته </e2>به یاد می آورم .
Entity-Destination(e1,e2)	عروس و داماد <e1>شراب شامپاین </e1>را درون <e2>لیوان‌های </e2><e1>شامپاین </e1>انباشته شده می ریختند .
Component-Whole(e2,e1)	دو ساختار دیگر در عمق <e1>مغز میانی </e1>که برای عملکرد طبیعی موتور اهمیت دارند ، <e2>هسته </e2>قرمز ( غیر قابل رویت ) و توده سیاه است .
Other	<e1>خرس‌ها </e1>به <e2>خواب زمستانی </e2>رفته اند .
Other	انتقاد ادبی مطالعه ادبیات با استفاده از دانش دقیق زبانی که یک کتاب با آن نوشته شده ، <e1>رشد </e1>آن از <e2>ریشه‌های </e2>مختلف ، مراحل توسعه آن و عوامل موثر بر آن ، شرایط آن در دوره نگارشش ، از شیوه تفکر نویسنده و سبک دوره بلوغ او ، تاریخ کلی و ادبیات نژاد او ، و ویژگی‌های خاصی از دوره او و نویسندگان معاصر او است .
Other	رویکرد <e1>عملکردی </e1>تلاش می کند تا <e2>همگرایی </e2>کشورهای پیشرفته رفاه را توضیح دهد .
Product-Producer(e1,e2)	دانشمندان بریتانیایی با کاهش میزان <e1>گازهای </e1>گلخانه‌ای مضر تولید شده توسط <e2>گاو‌های </e2>پرطمطراق ، در حال مبارزه با تغییرات جوی هستند .
Content-Container(e2,e1)	<e1>بطری‌ها </e1>حاوی <e2>ماده‌ای </e2>بودند که متخصصان می گویند چربی انسانی است .
Product-Producer(e2,e1)	در اوایل ماه اکتبر ، انور العولقی ، <e1>روحانی </e1>متعصب مستقر در یمن ، یک <e2>پیام </e2>تحریک آمیز را در وب سایت زبان انگلیسی خود منتشر کرد .
Member-Collection(e2,e1)	یک <e1>بازار </e1>از <e2>گیلتوم‌های </e2>نوپا از غروب این بعدازظهر تا جلب رضایت از جمعیت خوش گذشت .
Cause-Effect(e1,e2)	<e1>استخراج </e1>نفت در آمازون منجر به <e2>انقراض </e2>ملیت‌های تیته و زاپارو شده است و همچنان به تهدید مردم بومی می پردازد .
Cause-Effect(e2,e1)	با این وجود ، <e1>سردرد </e1>از <e2>شراب </e2>اغلب قوی تر و طولانی تر به علت ترکیبات مختلف است .
Instrument-Agency(e2,e1)	اکنون ما در کشوری زندگی می کنیم که در آن <e1>رییس‌جمهور </e1><e2>قدرت </e2>را برای فرستادن کل کشور را با ابتکار خود به جنگ می فرستد .
Cause-Effect(e1,e2)	این <e1>آسیب </e1>منجر به <e2>عمل‌های جراحی </e2>متعددی به منظور نجات بینایی شد .
Component-Whole(e2,e1)	این یک <e1>گروه </e1>از <e2>قو </e2>های سفید بود که بر فراز وال استریت پرواز می کردند و مرکز تجارت را با روش فریبنده خود علامت گذاری می کردند .
Entity-Destination(e1,e2)	من ساده ترین گزینه را انتخاب کردم: <e1>فایل‌ها </e1>را در یک <e2>فولدر </e2>خاص کپی و ذخیره کردم و از آنجا از آنها استفاده کردم .
Entity-Destination(e1,e2)	در سه تا چهار سال گذشته ، بسیاری از <e1>افراد </e1>صنعت وارد <e2>عالم </e2>مخاطرات شده اند .
Other	سنت‌های بت پرستی قدیم از <e1>قحطی </e1>پس از <e2>جشن </e2>به عنوان راهی برای نشان دادن حقیقت استفاده می کردند .
Cause-Effect(e2,e1)	او رویکرد بهتری اتخاذ کرد : صادق بودن و فهمیدن و تشخیص دادن <e1>ناراحتی </e1>ناشی از <e2>وهم </e2>یا خیال را .
Entity-Destination(e1,e2)	در شب ، او <e1>چوب </e1>را در <e2>آتش </e2>انداخت .
Instrument-Agency(e2,e1)	<e1>سارق </e1>نقاب دار کارگر را با یک <e2>چکش </e2>میخ کش تهدید می کند .
Message-Topic(e1,e2)	این 14 <e1>پرتره </e1>معرفی کننده <e2>زنان </e2>موفق در حوزه‌های سیاست ، اقتصاد ، علم ، کلیسا و جنبش‌های اجتماعی جدید هستند .
Component-Whole(e2,e1)	<e1>فرایند </e1>پروژه شامل یک <e2>مطالعه </e2>میدانی با ساکنان استانبول برای 4 هفته و ارائه‌ها تا 8 هفته آخر می شود .
Entity-Destination(e1,e2)	دو <e1>هسته </e1>به <e2>لوله </e2>کانجیگ مهاجرت کرده اند .
Entity-Destination(e1,e2)	صنایع ، <e1>ماهیگیران </e1>را به <e2>ذخایر </e2>دریایی شکننده آورده اند .
Other	علاوه بر این ، فراتر از قدرت دولت است که خانواده سایم را مجبور کند سهام خود را حفظ کند و یا مهمتر از آن اینکه مجبور شود آقای مکدونالد را به عنوان <e1>مدیر اجرایی </e1>این <e2>شرکت </e2>بپذیرد .
Component-Whole(e1,e2)	سنگها باید در فاصله 10 اینچ از <e1>لبه </e1><e2>آپارتمان </e2>تنظیم شوند .
Other	این <e1>قانون </e1>موضوع <e2>چالش قانونی </e2>است که بوسیله ABC و شرکای همدستش به دست آمده است .
Other	گرچه هری در طول تمرین آن را متوجه شد ، تغییری که مشخص شد اختلاف در <e1>ناراحتی </e1>عضلانی از <e2>شروع </e2>برنامه آموزشی او بود ( پنج مایل سواری در روز ) بعد دو ماه به وضعیت فعلی خود رسید .
Component-Whole(e1,e2)	محفظه حافظه در <e1>دستگیره </e1><e2>دوربین </e2>قرار دارد .
Entity-Destination(e1,e2)	استفاده روزافزون از این تکنولوژی به <e1>ناباروری </e1>برای <e2>نسل‌های </e2>آینده منتهی شد .
Content-Container(e1,e2)	<e1>کمک‌های جنگل </e1>هواپیما در یک کیت <e2>فرار </e2>مهر و موم همراه با نقشه‌های قلمرو و یک فرهنگ لغت عبارات و کلمات در گویش محلی قرار داشت .
Member-Collection(e2,e1)	تأثیر شکل منفذ در انتقال نوری خارق العاده با استفاده از <e1>آرایه‌های </e1><e2>منفذ </e2>متشکل از منافذ مستطیلی با نسبت ابعاد مختلف مورد بررسی قرار گرفت .
Member-Collection(e2,e1)	خانهی سگ‌های شکاری و <e1>میوز </e1><e2>شاهین‌ها </e2>یک شکل از مصرف آشکار بودگد که فقط یک اشراف زاده می توانست آن را تأمین کند ؛ بنابراین وضعیت او را نشان می دهد .
Component-Whole(e1,e2)	وقتی شما در دو <e1>طبقه </e1>از <e2>کلبه </e2>قدم می‌زنید، چهارده نقاشی با سه سطح از جزئیات نشان داده می‌شوند .
Cause-Effect(e2,e1)	این تغییرات می تواند ناشی از خود تومور ، <e1>افزایش فشار </e1>ناشی از حضور <e2>تومور </e2>ایجاد شده باشند .
Message-Topic(e1,e2)	<e1>مطالعه موردی </e1>نشان داده شده <e2>مسیر </e2>طی شده توسط نورث کستون را ترسیم می کند .
Cause-Effect(e2,e1)	این مراکز ، با مداخلات آموزشی و روانی مناسب ، به کودکان در جهت غلبه بر <e1>ضربه روحی </e1>و استرس ناشی از <e2>زلزله </e2>کمک کردند .
Product-Producer(e2,e1)	هنگامی که آنها بزرگ شدند ، <e1>دوقلوها </e1>یک <e2>شهر </e2>را ایجاد کردند .
Content-Container(e1,e2)	<e1>پا </e1>داخل <e2>کفش </e2>سفید <e2>دو </e2>نایکی بود .
Component-Whole(e1,e2)	این مفهوم از یک <e1>فرمان‌یار </e1>تعبیه شده در <e2>کیف پول </e2>استفاده می کند که بازوی خود را از موازی به عمود بر سطح کیف پول چرخش می دهد .
Cause-Effect(e1,e2)	<e1>وولودینیا </e1>علت <e2>درد فرجی </e2>در فقدان بیماری پوستی و عفونت است .
Member-Collection(e1,e2)	هر <e1>سازمانی </e1>که عضو این <e2>شرکت </e2>است ، همانطور که در قانون اساسی شرکت ارائه شده است ، حق برخورداری از مزایای استفاده از این فصل را دارد .
Other	اسقف نیز خوشحال بود که در مورد برخی از <e1>مسائل </e1>مورد نزاع که در حال حاضر بر <e2>کلیسا </e2>تأثیر می گذارد صحبت کند .
Component-Whole(e2,e1)	شکل . 1 نمای جلوی یک <e2>جیب </e2><e1>شلوار </e1>است که طراحی جدید من را نشان می دهد .
Entity-Origin(e1,e2)	<e1>تکلیف </e1>انیمیشن من از <e2>ترم </e2>آخر باعث خنده همه شد .
Cause-Effect(e2,e1)	<e1>زخم بستر </e1>( ، که نام دیگر آن <e1>زخم‌های </e1>فشاری ، <e1>زخم‌های </e1>دکوبیتوس یا <e1>زخم‌های </e1>تحت <e2>فشار </e2>است،-RRB- به علت <e2>فشار </e2>ایجاد می شوند که این منجر به قطع جریان خون به اعضای بدن می شود .
Component-Whole(e2,e1)	این <e1>اجاق </e1>دارای یک <e2>حامل </e2>نوار نقاله با سه شعله و پیچ‌های کامل است .
Other	بنگلادش از هند خواسته است تا <e1>ویزا </e1>برا برای <e2>سفر </e2>بین دو کشور همسایه برای افزایش تجارت از میان بردارد .
Product-Producer(e1,e2)	ظاهرا <e2>قهرمان </e2>پس از ساخت یک <e1>تیروکمان </e1>، از طریق سقف اتاق قدیمی خود پرواز می کند و در فضا ناپدید می شود .
Component-Whole(e2,e1)	یک دوره آزمایشی دیگر برای معلمان جدید ، قرار دادن معلمان با تجربه در شرایط تحصیلی پس از چندین سال از ارزیابی‌های نامطمئن و <e1>روش‌های </e1>جدید جایگزینی برای صدور گواهینامه ، بخشی از <e2>پیشنهاد </e2>است .
Product-Producer(e1,e2)	آنها همچنین شاهد تولد <e1>مدرسه </e1>گلوکپا ( که به عنوان کلاه زردها هم شناخته میشود ) توسط <e2>شاگردان </e2>سونگکاپا لوبسانگ دراگپا بودند .
Instrument-Agency(e2,e1)	<e1>تیم </e1>، پلاستیک را در امتداد تیر آهن‌ها با <e2>اسلحه‌های </e2>سنگین منگنه زن به هم وصل کردند تا آن را در محل نگهداری کند .
Instrument-Agency(e2,e1)	<e1>آتش نشان‌ها </e1>شیرهای آتش نشانی را نشان می کنند که با <e2>رنگ </e2>اسپری سازگار هستند .
Member-Collection(e2,e1)	الیس به همراه جی مک اینرنی و تاما جانویتز یکی از <e2>نویسندگان </e2><e1>متظاهر </e1>آمریکایی دهه 1980 بود .
Cause-Effect(e2,e1)	شکل 9 ، متوسط <e1>​​تاخیرهای </e1>ایجاد شده توسط این <e2>سیاست </e2>در مقایسه با مقادیر قبلی را نشان می دهد .
